"",mo-sa ,mo-sa ,mo-sa ,tgl. ,mo-sa ,So/F ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,mo-fr ,tgl. ,tgl. ,tgl. ,tgl. ,tgl. ,tgl.
altestelle / Linie ,1 ,1 ,1 ,2 ,1 ,1 ,2 ,2 ,2 ,2 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,1 ,2 ,2 ,2 ,2# ,2# ,1# ,1# ,1# ,1# ,1#
urpark ,6:04 ,6:34 ,7:08 ,7:51 ,8:18 ,"",9:16 ,9:46 ,10:01 ,10:25 ,10:46 ,11:09 ,11:31 ,11:55 ,12:14 ,12:39 ,12:58 ,13:24 ,13:46 ,14:09 ,14:31 ,14:51 ,15:16 ,15:39 ,15:58 ,16:24 ,16:46 ,17:04 ,17:38 ,17:53 ,18:25 ,18:58 ,19:36 ,20:06 ,21:13 ,21:56
ahnhof an ,6:08 ,6:38 ,7:12 ,7:55 ,8:22 ,8:46 ,9:20 ,9:50 ,10:05 ,10:29 ,10:50 ,11:13 ,11:35 ,11:59 ,12:18 ,12:43 ,13:02 ,13:28 ,13:50 ,14:13 ,14:35 ,14:55 ,15:20 ,15:43 ,16:02 ,16:28 ,16:50 ,17:08 ,17:42 ,17:57 ,18:29 ,19:02 ,19:40 ,20:10 ,21:17 ,21:59
ahnhof ab ,6:08 ,6:38 ,7:12 ,7:55 ,8:22 ,8:46 ,9:20 ,9:50 ,10:05 ,10:29 ,10:50 ,11:13 ,11:35 ,12:02 ,12:18 ,12:43 ,13:04 ,13:28 ,13:50 ,14:13 ,14:35 ,14:55 ,15:20 ,15:43 ,16:02 ,16:28 ,16:50 ,17:08 ,17:42 ,17:59 ,18:29 ,19:02 ,19:40 ,20:10 ,21:17 ,21:59
athaus ,6:09 ,6:39 ,7:13 ,7:56 ,8:23 ,8:47 ,9:21 ,9:51 ,10:06 ,10:30 ,10:51 ,11:14 ,11:36 ,12:03 ,12:19 ,12:44 ,13:05 ,13:29 ,13:51 ,14:14 ,14:36 ,14:56 ,15:21 ,15:44 ,16:03 ,16:29 ,16:51 ,17:09 ,17:43 ,18:00 ,18:30 ,19:03 ,19:41 ,20:11 ,21:18 ,22:00
ebastianskirche ,6:11 ,6:41 ,7:15 ,7:59 ,8:26 ,8:50 ,9:24 ,9:54 ,10:09 ,10:33 ,10:54 ,11:17 ,11:39 ,12:06 ,12:22 ,12:47 ,13:08 ,13:32 ,13:54 ,14:17 ,14:39 ,14:59 ,15:24 ,15:47 ,16:06 ,16:32 ,16:54 ,17:12 ,17:46 ,18:02 ,18:33 ,19:06 ,19:43 ,20:13 ,21:20 ,22:01
istorische Ludwigstraße ,6:12 ,6:42 ,7:16 ,8:00 ,8:27 ,8:51 ,9:25 ,9:55 ,10:10 ,10:34 ,10:55 ,11:18 ,11:40 ,12:07 ,12:23 ,12:48 ,13:09 ,13:33 ,13:55 ,14:18 ,14:40 ,15:00 ,15:25 ,15:48 ,16:07 ,16:33 ,16:55 ,17:13 ,17:47 ,18:03 ,18:34 ,19:07 ,19:44 ,20:14 ,21:21 ,22:02
adgasse/Werdenf.Museum ,6:12 ,6:42 ,7:16 ,8:00 ,8:28 ,8:51 ,9:26 ,9:56 ,10:11 ,10:35 ,10:56 ,11:19 ,11:41 ,12:08 ,12:24 ,12:49 ,13:10 ,13:34 ,13:56 ,14:19 ,14:41 ,15:01 ,15:26 ,15:49 ,16:08 ,16:34 ,16:56 ,17:13 ,17:47 ,18:03 ,18:34 ,19:07 ,19:44 ,20:14 ,21:21 ,22:02
aupt-/ Dr.Wigger-Straße ,6:13 ,6:43 ,7:17 ,8:01 ,8:29 ,8:52 ,9:27 ,9:57 ,10:12 ,10:36 ,10:57 ,11:20 ,11:42 ,12:09 ,12:25 ,12:50 ,13:11 ,13:35 ,13:57 ,14:20 ,14:42 ,15:02 ,15:27 ,15:50 ,16:09 ,16:35 ,16:57 ,17:14 ,17:48 ,18:04 ,18:35 ,19:08 ,19:45 ,20:15 ,21:22 ,22:03
ittenwalder Straße ,6:14 ,6:44 ,7:18 ,8:02 ,8:30 ,8:53 ,9:28 ,9:58 ,10:13 ,10:37 ,10:58 ,11:21 ,11:43 ,12:10 ,12:26 ,12:51 ,13:12 ,13:36 ,13:58 ,14:21 ,14:43 ,15:03 ,15:28 ,15:51 ,16:10 ,16:36 ,16:58 ,17:15 ,17:49 ,18:05 ,18:36 ,19:09 ,19:46 ,20:16 ,21:23 ,22:04
lpenstraße ,6:14 ,6:44 ,7:18 ,8:02 ,8:30 ,8:53 ,9:29 ,9:59 ,10:14 ,10:38 ,10:59 ,11:22 ,11:44 ,12:11 ,12:27 ,12:52 ,13:13 ,13:37 ,13:59 ,14:22 ,14:44 ,15:04 ,15:29 ,15:52 ,16:11 ,16:37 ,16:59 ,17:15 ,17:49 ,18:05 ,18:36 ,19:09 ,19:46 ,20:16 ,21:23 ,22:04
ildenauer Straße ,6:15 ,6:45 ,7:19 ,8:03 ,8:31 ,8:54 ,9:30 ,10:00 ,10:15 ,10:39 ,11:00 ,11:23 ,11:45 ,12:12 ,12:28 ,12:53 ,13:14 ,13:38 ,14:00 ,14:23 ,14:45 ,15:05 ,15:30 ,15:53 ,16:12 ,16:38 ,17:00 ,17:16 ,17:50 ,18:06 ,18:37 ,19:10 ,19:47 ,20:17 ,21:24 ,22:05
kistadion ,6:16 ,6:46 ,7:20 ,8:04 ,8:32 ,8:55 ,9:31 ,10:01 ,10:16 ,10:40 ,11:01 ,11:24 ,11:46 ,12:13 ,12:29 ,12:54 ,13:15 ,13:39 ,14:01 ,14:24 ,14:46 ,15:06 ,15:31 ,15:54 ,16:13 ,16:39 ,17:01 ,17:17 ,17:51 ,18:07 ,18:38 ,19:11 ,19:48 ,20:18 ,21:25 ,22:06
linikum ,6:19 ,6:49 ,7:24 ,8:08 ,8:36 ,8:59 ,9:35 ,10:05 ,10:20 ,10:44 ,11:05 ,11:28 ,11:50 ,12:17 ,12:33 ,12:58 ,13:19 ,13:43 ,14:05 ,14:28 ,14:50 ,15:10 ,15:35 ,15:58 ,16:17 ,16:43 ,17:05 ,17:21 ,17:55 ,18:11 ,18:42 ,19:15 ,19:51 ,20:21 ,21:28 ,22:08
