,,,,,,,,,,,,,,,"Montag - Freitag",,,,,,,,,,,,,
"Linie ","9606 ","9822 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ",,"73 ","9606 9606 ","9606 ","9606 ","9606 ","9651 ","9606 ","9606 ","9651 ","9606 ","9606 ","73 ","9606 ","9606 ","9606"
"Fahrtnummer ","001 ","001 ","003 ","005 ","045 ","049 ","027 ","019 ","007 ","051 ","009 ","011 ",,"018 ","013 015 ","017 ","117 ","119 ","007 ","043 ","023 ","025 ","053 ","025 ","026 ","029 ","031 ","021"
"Haltestellen ",,,"S ","S ","S ","S ","S ","S ",,"S ","S ",,,,,"S ","F ","F ",,"S ",,,"˛ ","99",,,,
"Garmisch-Partenkirchen Bahnhof ab ",,,"5.35 ",,,,"6.20 ",,"6.50 ",,"7.17 ","7.50 ",,,"8.35 9.40 ","10.40 ","10.40 ",,,,"12.05 ",,,"13.00 ",,"14.10 ","15.15 ","16.00"
"Partenkirchen Werdenfelser Pl. ",,,"5.38 ",,,,"6.23 ",,"6.53 ",,"7.19 ","7.53 ",,,"8.38 9.43 ","10.43 ","10.43 ",,,,"12.08 ",,,"13.03 ",,"14.13 ","15.18 ","16.03"
"Partenkirchen Friedhof ",,,"5.40 ",,,,"6.25 ",,"6.55 ",,"7.20 ","7.55 ",,,"8.40 9.45 ","10.45 ","10.45 ",,,,"12.10 ",,,"13.05 ",,"14.15 ","15.20 ","16.05"
"Partenkirchen Loisachauen ",,,"5.42 ",,,,"6.27 ",,"6.57 ",,,"7.57 ",,,"8.42 9.47 ","10.47 ","10.47 ",,,,"12.12 ",,,"13.07 ",,"14.17 ","15.22 ","16.07"
"Farchant Maibaum ",,,"5.45 ",,,,"6.30 ",,"7.00 ",,,"8.00 ",,,"8.45 9.50 ","10.50 ","10.50 ",,,,"12.15 ",,,"13.10 ",,"14.20 ","15.25 ","16.10"
"Oberau Bahnhof an ",,,"5.49 ",,,,"6.34 ",,"7.04 ",,"7.28 ","8.04 ",,,"8.49 9.54 ","10.54 ","10.54 ",,,,"12.19 ",,,"13.14 ",,"14.24 ","15.29 ","16.14"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zug aus München an ",,,,,,,"6.22 ",,"6.22 ","7.10 ","7.10 ","7.45 ",,,"8.45 9.45 ","10.46 ","10.46 ",,,,"11.45 ",,,"12.45 ",,"13.45 ","14.45 ","15.45"
"Oberau Bahnhof ab ",,,"5.49 ",,,,"6.34 ",,"7.05 ","7.28 ","7.29 ","8.04 ",,,"8.50 9.58 ","10.54 ","10.54 ",,,,"12.20 ",,,"13.15 ",,"14.25 ","15.30 ","16.15"
"Oberau Untermberg ",,,"5.51 ",,,,"6.36 ",,"7.07 ","7.30 ","7.30 ","8.06 ",,,"8.52 10.00 ","10.56 ","10.56 ",,,,"12.22 ",,,"13.17 ",,"14.27 ","15.32 ","16.17"
"Ettal am Berg ",,,"5.57 ",,,,"6.42 ",,"7.13 ","7.36 ","7.36 ","8.12 ",,,"8.58 10.06 ","11.02 ","11.02 ",,,,"12.28 ",,,"13.23 ",,"14.33 ","15.38 ","16.23"
"Ettal Klostergasthof ",,,"5.59 ",,,,"6.44 ",,"7.15 ","7.38 ","7.37 ","8.14 ",,,"9.00 10.08 ","11.04 ","11.04 ",,,"12.15 ","12.30 ",,"13.00 ","13.25 ",,"14.35 ","15.40 ","16.25"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bus nach Schloss Linderhof ab ",,,,,,,,,,,,,,,,"11.40 ","11.37 ",,,,"S 12.31 ",,,"S 13.31 ",,"14.47 ","16.14",
"Ettal Abzw. Zieglerhof ab ",,,"6.00 ",,,,"6.45 ",,"7.16 ","7.39 ",,"8.15 ",,,"9.01 10.09 ","11.05 ","11.05 ",,,"12.16 ","12.32 ",,,"13.27 ",,"14.36 ","15.41 ","16.26"
"Oberammergau Hexenstube ",,,,,,,"6.48 ",,,,,,,,,,,,,"12.19 ",,,,,,,,"16.29"
"Oberammergau Rainenbichl ",,,"6.05 ",,,,,,"7.21 ","7.42 ",,"8.20 ",,,"9.06 10.14 ","11.10 ","11.10 ",,,,"12.37 ",,,"13.32 ",,"14.41 ","15.46",
"Oberammergau Nato-Schule ",,,"6.06 ",,,,,,"7.22 ","7.43 ",,"8.21 ",,,"9.07 10.15 ","11.11 ","11.11 ",,,,"12.38 ",,,"13.33 ",,"14.42 ","15.47",
"Oberammergau Aufackerstraße ",,,"6.07 ",,,,,,"7.23 ","7.44 ",,"8.22 ",,,"9.08 10.16 ","11.12 ","11.12 ",,,,"12.39 ",,,"13.34 ",,"14.43 ","15.48",
"Oberammergau Tiroler Gasse ",,,"6.10 ",,,,,,"7.26 ","7.46 ",,"8.25 ",,,"9.11 10.19 ","11.15 ","11.15 ",,,"12.21 ","12.42 ",,,"13.37 ",,"14.46 ","15.51",
"Oberammergau Eugen-Papst-Str. ",,,"6.12 ",,,,"6.50 ",,"7.28 ","7.47 ",,"8.27 ",,,"9.13 10.21 ","11.17 ","11.17 ",,,"12.24 ","12.45 ",,,"13.40 ",,"14.48 ","15.53 ","16.31"
"Oberammergau Bahnhof an ",,,"6.14 ",,,,"6.52 ",,"7.30 ","7.49 ",,"8.29 ",,,"9.15 10.23 ","11.19 ","11.19 ",,,"12.27 ","12.47 ",,"13.07 ","13.42 ",,"14.50 ","15.55 ","16.35"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zug nach Murnau ab ",,,"6.44 ",,,,,,"7.39 ",,,"8.39 ",,,"9.39 10.39 ","11.39 ","11.39 ",,,"12.30 ","13.19 ",,"13.19 ",,,,,"16.39"
