,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Partenkirchen Äußere Maximilianstraße,05:55:00,06:25:00,06:55:00,08:04:00,,10:55:00,11:41:00,12:25:00,13:10:00,13:55:00,14:37:00,15:25:00,16:10:00,18:46:00,19:24:00,19:55:00,21:02:00,
Breitenau Loisachbrücke Ri S,05:55:00,06:25:00,06:55:00,08:04:00,,10:55:00,11:41:00,12:25:00,13:10:00,13:55:00,14:37:00,15:25:00,16:10:00,18:46:00,19:24:00,19:55:00,21:02:00,
Breitenau Zugspitzstraße Ri O,05:56:00,06:26:00,06:56:00,08:05:00,,10:56:00,11:42:00,12:26:00,13:11:00,13:56:00,14:38:00,15:26:00,16:11:00,18:47:00,19:25:00,19:56:00,21:03:00,
Partenkirchen Archstraße Ri O,05:57:00,06:27:00,06:58:00,08:07:00,,10:58:00,11:44:00,12:28:00,13:13:00,13:58:00,14:40:00,15:28:00,16:13:00,18:48:00,19:26:00,19:57:00,21:04:00,
Partenkirchen Fichtackerstraße Ri O,05:58:00,06:28:00,06:59:00,08:08:00,,10:59:00,11:45:00,12:29:00,13:14:00,13:59:00,14:41:00,15:29:00,16:14:00,18:49:00,19:27:00,19:58:00,21:05:00,
Partenkirchen Am Mühlbach Ri O,05:59:00,06:29:00,07:00:00,08:09:00,,11:00:00,11:46:00,12:30:00,13:15:00,14:00:00,14:42:00,15:30:00,16:15:00,18:50:00,19:28:00,19:59:00,21:06:00,
Partenkirchen Rießerkopfstraße Ri O,06:00:00,06:30:00,07:01:00,08:10:00,,11:01:00,11:47:00,12:31:00,13:16:00,14:01:00,14:43:00,15:31:00,16:16:00,18:51:00,19:29:00,20:00:00,21:07:00,
Partenkirchen Marienplatz Ri S,06:02:00,06:32:00,07:05:00,08:14:00,,11:05:00,11:51:00,12:35:00,13:20:00,14:05:00,14:47:00,15:35:00,16:20:00,18:55:00,19:33:00,20:03:00,21:10:00,
Partenkirchen Alpspitzstraße Ri S,06:02:00,06:32:00,07:05:00,08:14:00,,11:05:00,11:51:00,12:35:00,13:20:00,14:05:00,14:47:00,15:35:00,16:20:00,18:55:00,19:33:00,20:03:00,21:10:00,21:52:00
Partenkirchen Achenfeldstraße Ri O,06:03:00,06:33:00,07:06:00,08:15:00,,11:06:00,11:52:00,12:36:00,13:21:00,14:06:00,14:48:00,15:36:00,16:21:00,18:56:00,19:34:00,20:04:00,21:11:00,21:52:00
