,965,965,965,965,965,965,965,965,965,965,965,965,965,965,965
Garmisch Partenkirchen Ri S,06:37:00,07:22:00,08:04:00,09:04:00,10:04:00,12:04:00,13:04:00,14:04:00,,15:21:00,16:04:00,17:04:00,18:04:00,19:04:00,20:04:00
Garmisch Partenkirchen Hausberg Ri S,,,08:06:00,09:06:00,10:06:00,12:06:00,13:06:00,14:06:00,,15:23:00,16:06:00,17:06:00,18:06:00,19:06:00,20:06:00
Untergrainau Ri N,06:43:00,,08:10:00,09:10:00,10:10:00,12:10:00,13:10:00,14:10:00,,,16:10:00,17:10:00,18:10:00,19:10:00,20:10:00
Griesen Ri S,06:52:00,,08:20:00,,10:20:00,12:20:00,,14:20:00,,,16:20:00,,18:20:00,,20:20:00
Ehrwald Zugspitzbahn Ri S,07:02:00,07:52:00,08:31:00,09:31:00,10:31:00,12:31:00,14:00:00,14:31:00,15:20:00,,16:31:00,17:31:00,18:31:00,19:31:00,20:31:00
Lermoos Ri W,07:06:00,07:56:00,08:35:00,09:35:00,10:35:00,12:35:00,14:04:00,14:35:00,15:26:00,,16:35:00,17:35:00,18:35:00,19:35:00,20:35:00
Lähn Ri W,07:10:00,08:00:00,08:39:00,09:39:00,10:39:00,12:39:00,14:09:00,14:39:00,15:30:00,,16:39:00,17:39:00,18:39:00,19:39:00,20:39:00
Bichlbach Bergwang Ri N,07:17:00,08:17:00,08:43:00,09:43:00,10:43:00,12:43:00,14:14:00,14:43:00,15:34:00,,16:43:00,17:43:00,18:43:00,19:43:00,20:43:00
Bichlbach Almkopfbahn Ri W,,08:19:00,08:45:00,09:45:00,10:45:00,12:45:00,,14:45:00,15:36:00,,16:45:00,17:45:00,,,
Heiterwang Plansee Ri W,07:23:00,08:22:00,08:48:00,09:48:00,10:48:00,12:48:00,14:19:00,14:48:00,15:39:00,,16:48:00,17:48:00,18:48:00,19:48:00,20:48:00
Reutte in Tirol Schulzentrum Ri W,07:34:00,08:31:00,08:57:00,09:57:00,10:57:00,12:57:00,14:28:00,14:57:00,15:48:00,,16:57:00,17:57:00,18:57:00,19:57:00,20:57:00
Reutte in Tirol,07:36:00,08:33:00,09:00:00,10:00:00,11:00:00,13:00:00,14:31:00,15:00:00,15:51:00,,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00
