,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608
Kochel Bahnhof,,,,07:37:00,,,09:13:00,,,10:55:00,,,13:30:00,,14:55:00,,16:00:00,,17:13:00,18:13:00
Kochel Gh Post Ri S,,,,07:38:00,,,09:14:00,,,10:56:00,,,13:31:00,,14:56:00,,16:01:00,,17:14:00,18:14:00
Kochel Volksschule,,,,07:41:00,,,,,,,,,,,,,,,,
Kochel Heimatbühne Ri S,,,,07:44:00,,,09:15:00,,,10:57:00,,,13:32:00,,14:57:00,,16:02:00,,17:15:00,18:15:00
Kochel Franz Marc Museum Ri S,,,,07:45:00,,,09:16:00,,,10:58:00,,,13:33:00,,14:58:00,,16:03:00,,17:16:00,18:16:00
Kochel Fa Dorst Ri S,,,,07:46:00,,,09:17:00,,,10:59:00,,,13:34:00,,14:59:00,,16:04:00,,17:17:00,18:17:00
Altjoch Ri S,,,,07:47:00,,,09:18:00,,,11:00:00,,,13:35:00,,15:00:00,,16:05:00,,17:18:00,18:18:00
Helmerhütte Ri S,,,,07:50:00,,,09:21:00,,,11:03:00,,,13:38:00,,15:03:00,,16:08:00,,17:21:00,18:21:00
Kesselberg Paßhöhe,,,,07:53:00,,,09:24:00,,,11:06:00,,,13:41:00,,15:05:00,,16:11:00,,17:24:00,18:24:00
Urfeld Ri S,,,,07:56:00,,,09:27:00,,,11:09:00,,,13:44:00,,15:08:00,,16:14:00,,17:27:00,18:27:00
Urfeld Jugendherberge Ri S,,,,07:57:00,,,09:28:00,,,11:10:00,,,13:45:00,,15:09:00,,16:15:00,,17:28:00,18:28:00
Walchensee Herzogstandbahn Ri S,,,06:40:00,08:01:00,,,09:32:00,,,11:14:00,,,13:49:00,,15:12:00,,16:19:00,16:25:00,17:32:00,18:32:00
Walchensee Seestüberl,,,06:42:00,08:02:00,,,09:33:00,,,11:15:00,,,13:50:00,,15:14:00,,16:20:00,16:26:00,17:33:00,18:33:00
Walchensee Gh Edeltraud Ri W,,,06:44:00,,,,09:34:00,,,11:16:00,,,13:51:00,,15:16:00,,16:21:00,16:27:00,17:34:00,18:34:00
Lobisau Ri S,,,06:45:00,,,,09:35:00,,,11:17:00,,,13:52:00,,15:17:00,,16:22:00,16:28:00,17:35:00,18:35:00
Einsiedl Ri S,,,06:46:00,,,,09:37:00,,,11:19:00,,,13:54:00,,15:18:00,,16:24:00,16:30:00,17:37:00,18:37:00
Einsiedl Abzw Mauthstraße,,,06:46:00,,,,,,,,,,,,,,,,,
Obernach Ri S,,,06:48:00,,,,09:40:00,,,11:22:00,,,13:57:00,,15:20:00,,16:27:00,16:33:00,17:40:00,18:40:00
Obernach Versuchsanstalt Ri S,,,06:49:00,,,,09:41:00,,,11:23:00,,,13:58:00,,15:21:00,,16:28:00,16:34:00,17:41:00,18:41:00
Wallgau Bichl Ri S,,06:25:00,06:51:00,,,09:10:00,09:44:00,09:45:00,10:27:00,11:26:00,12:36:00,13:38:00,14:01:00,14:17:00,15:23:00,,16:31:00,16:37:00,17:44:00,18:44:00
Wallgau Rathaus Ri S ankunft,,06:27:00,06:53:00,,,09:12:00,09:46:00,09:47:00,10:29:00,11:28:00,12:38:00,13:40:00,14:03:00,14:19:00,15:25:00,,16:33:00,16:39:00,17:46:00,18:46:00
Wallgau Rathaus Ri S abfahrt,05:49:00,06:27:00,07:00:00,,08:25:00,09:14:00,09:47:00,09:48:00,10:30:00,11:30:00,12:38:00,13:41:00,14:05:00,14:20:00,15:27:00,15:35:00,16:35:00,16:41:00,17:48:00,18:46:00
Wallgau Alpenhof Ri S,05:50:00,06:28:00,07:01:00,,08:26:00,09:15:00,09:48:00,09:49:00,10:31:00,11:31:00,12:39:00,13:42:00,14:06:00,14:21:00,15:28:00,15:36:00,16:36:00,16:42:00,17:49:00,18:47:00
Krün Gh Post / Cafe Kranzbach Ri S,05:53:00,06:31:00,07:04:00,,08:29:00,09:18:00,09:51:00,09:52:00,10:34:00,11:34:00,12:42:00,13:45:00,14:09:00,14:24:00,15:31:00,15:39:00,16:39:00,16:42:00,17:52:00,18:50:00
Bärnbichl Ri W,05:54:00,,07:05:00,,08:30:00,,,09:53:00,,,12:43:00,,14:10:00,,15:32:00,,16:40:00,,,
Barmsee Ri S,05:55:00,,07:06:00,,08:31:00,,,09:54:00,,,12:44:00,,14:11:00,,15:33:00,,16:41:00,,,
Klais Fußgängerunterführung,05:56:00,,07:07:00,,08:32:00,,,09:55:00,,,12:45:00,,14:12:00,,15:34:00,,16:42:00,,,
Krün Siedlung Ri S,,06:32:00,,,,09:19:00,09:52:00,,10:35:00,11:35:00,,13:46:00,,14:25:00,,15:40:00,,16:46:00,17:53:00,18:51:00
Isar Seinsbrücke Ri S,,06:34:00,,,,09:21:00,09:54:00,,10:37:00,11:37:00,,13:48:00,,14:27:00,,15:42:00,,16:48:00,17:55:00,18:53:00
Mittenwald Kasernen Ri S,,06:36:00,,,,09:23:00,09:56:00,,10:39:00,11:39:00,,13:50:00,,14:29:00,,15:44:00,,16:50:00,17:57:00,18:55:00
Mittenwald Partenkirchener Straße Ri S,,06:38:00,,,,09:26:00,09:59:00,,10:41:00,11:41:00,,13:52:00,,14:31:00,,15:46:00,,16:52:00,17:59:00,18:57:00
Mittenwald Geigenbauschule Ri S,,06:39:00,,,,09:27:00,10:00:00,,10:42:00,11:42:00,,13:53:00,,14:32:00,,15:47:00,,16:53:00,18:00:00,18:58:00
Mittenwald Bahnhof / Postamt ankunft,,06:42:00,,,,09:30:00,10:03:00,,10:45:00,11:45:00,,13:56:00,,14:35:00,,15:50:00,,16:56:00,18:03:00,19:01:00
Mittenwald Bahnhof / Postamt abfahrt,,,,,,09:35:00,10:08:00,,10:48:00,11:47:00,,,,,,,,17:00:00,18:05:00,19:01:00
Mittenwald Geigenbauschule Ri N,,,,,,09:37:00,10:09:00,,10:49:00,11:48:00,,,,,,,,17:01:00,18:06:00,19:02:00
Mittenwald Partenkirchener Straße Ri N,,,,,,09:40:00,10:10:00,,10:50:00,11:49:00,,,,,,,,17:02:00,18:07:00,19:03:00
Schmalensee Ri N,,,,,,09:43:00,10:13:00,,10:53:00,11:52:00,,,,,,,,17:05:00,18:10:00,19:06:00
Klais Bahnhof Ri W,,,,,,09:48:00,10:18:00,,10:58:00,11:57:00,,,,,,,,17:10:00,18:15:00,19:11:00
Gerold Abzw Ri W,05:59:00,,07:10:00,,08:35:00,09:51:00,10:21:00,09:58:00,11:01:00,12:00:00,,,14:15:00,,15:37:00,,16:45:00,17:13:00,18:18:00,19:14:00
Kaltenbrunn Gasth Ri W,06:01:00,,07:12:00,,08:37:00,09:53:00,10:23:00,10:00:00,11:03:00,12:02:00,,,14:17:00,,15:39:00,,16:47:00,17:15:00,18:20:00,19:16:00
Schlattan Ri W,06:02:00,,07:13:00,,08:38:00,09:54:00,10:24:00,10:01:00,11:04:00,12:03:00,,,14:18:00,,15:40:00,,16:48:00,17:16:00,18:21:00,19:17:00
Anzlesau Ri W,06:03:00,,07:14:00,,08:39:00,09:55:00,10:25:00,10:02:00,11:05:00,12:04:00,,,14:19:00,,15:41:00,,16:49:00,17:17:00,18:22:00,19:18:00
Partenkirchen Alpenstraße Ri W,06:07:00,,07:18:00,,08:43:00,09:59:00,10:28:00,10:06:00,11:09:00,12:08:00,,,14:23:00,,15:45:00,,16:53:00,17:21:00,18:26:00,19:22:00
Partenkirchen Mittenwalder Straße Ri W,06:08:00,,07:19:00,,08:44:00,10:00:00,10:28:00,10:06:00,11:10:00,12:09:00,,,14:24:00,,15:46:00,,16:54:00,17:22:00,18:27:00,19:23:00
Partenkirchen Haupt / Dr Wigger Straße Ri W,06:09:00,,07:20:00,,08:45:00,10:01:00,10:29:00,10:08:00,11:11:00,12:10:00,,,14:25:00,,15:47:00,,16:55:00,17:23:00,18:28:00,19:24:00
Garmisch Partenkirchen Rathaus Ri W,06:11:00,,07:22:00,,08:47:00,10:03:00,10:31:00,10:10:00,11:13:00,12:12:00,,,14:27:00,,15:49:00,,16:57:00,17:25:00,18:30:00,19:26:00
Garmisch Partenkirchen Bahnhof,06:14:00,,07:25:00,,08:50:00,10:06:00,10:33:00,10:15:00,11:18:00,12:15:00,,,14:30:00,,15:52:00,,17:00:00,17:30:00,18:33:00,19:30:00
