,9623,9623,9623,9623,9623,9623,9623
Grafenaschau Seniorenheim,06:30:00,09:33:00,10:33:00,,14:08:00,15:08:00,16:08:00
Grafenaschau Birkenallee,,09:35:00,10:35:00,,14:10:00,15:10:00,16:10:00
Grafenaschau Bahnhof Ri O,,09:40:00,10:40:00,,14:15:00,15:15:00,16:15:00
Murnau Westried Ri O,06:34:00,09:42:00,10:42:00,,14:17:00,15:17:00,16:17:00
Hermannswies Erholungsheim Ri O,06:35:00,09:43:00,10:43:00,,14:18:00,15:18:00,16:18:00
Murnau Berggeist Ri O,06:36:00,09:44:00,10:44:00,,14:19:00,15:19:00,16:19:00
Murnau Klinik Hochried Ri O,06:38:00,09:45:00,10:45:00,,14:20:00,15:20:00,16:20:00
Murnau Ramsachleite Ri O,06:39:00,09:46:00,10:46:00,,14:21:00,15:21:00,16:21:00
Murnau Seniorenheim Ri O,06:40:00,09:47:00,10:47:00,,14:22:00,15:22:00,16:22:00
Murnau Bahnhof abfahrt,06:45:00,09:50:00,10:50:00,,14:25:00,15:25:00,16:25:00
Murnau Bahnhof ankunft,,09:50:00,,11:17:00,14:25:00,15:25:00,
Murnau Sollerstraße Ri N,,09:53:00,,11:20:00,14:28:00,15:28:00,
Murnau Weindorfer Straße Ri W,,09:54:00,,11:21:00,14:29:00,15:29:00,
Murnau Rathaus / Pfarrstraße Ri S,,09:56:00,,11:23:00,14:31:00,15:31:00,
Murnau Seidelstraße Ri O,,09:58:00,,11:25:00,14:33:00,15:33:00,
Murnau Kreiskrankenhaus Ri O,,09:59:00,,11:26:00,14:34:00,15:34:00,
Murnau UKM / Schwaigangerstraße Ri N,,10:00:00,,11:27:00,14:35:00,15:35:00,
Murnau Hagener Straße Ri O,,10:02:00,,11:29:00,14:37:00,15:37:00,
Hagen Kirchplatz,,10:04:00,,11:31:00,14:39:00,15:39:00,
