,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Garmisch Partenkirchen Ri S ankunft,,,06:30:00,,,,,07:20:00,,07:54:00,,,,,08:54:00,,,09:54:00,,,10:54:00,,,11:55:00,,,,12:54:00,,,13:54:00,,,14:54:00,,,15:54:00,,,,16:54:00,,,17:24:00,17:38:00,17:54:00,,,18:24:00,18:38:00,18:54:00,,,19:24:00,19:37:00,19:54:00,,20:22:00,,,20:54:00,,21:54:00,,22:54:00,,23:53:00,24:54:00,,00:54:00
Garmisch Partenkirchen Ri S abfahrt,,06:01:00,06:32:00,,,07:01:00,,,07:27:00,,08:02:00,,,08:26:00,09:06:00,,,10:02:00,,,11:02:00,,,,12:03:00,,,13:02:00,,,14:02:00,,,15:02:00,,,,16:02:00,,,17:02:00,,,17:26:00,,18:02:00,,,18:27:00,,19:02:00,,,19:27:00,,,20:02:00,20:26:00,,,21:02:00,,22:02:00,,23:02:00,,24:02:00,,,
Klais Ri S,,06:14:00,06:45:00,,,07:20:00,,,07:45:00,,08:15:00,,,08:45:00,09:19:00,,,10:15:00,,,11:15:00,,,,12:16:00,,,13:15:00,,,14:15:00,,,15:15:00,,,,16:15:00,,,17:15:00,,,17:46:00,,18:15:00,,,18:45:00,,19:15:00,,,19:45:00,,,20:15:00,,,,21:15:00,,22:15:00,,23:15:00,,24:15:00,,,
Mittenwald Ri S ankunft,,06:22:00,06:53:00,,,07:28:00,,,07:53:00,,08:23:00,,,08:53:00,09:27:00,,,10:23:00,,,11:23:00,,,,12:23:00,,,13:23:00,,,14:23:00,,,15:23:00,,,,16:23:00,,,17:23:00,,,17:53:00,,18:23:00,,,18:53:00,,19:23:00,,,19:53:00,,,20:23:00,20:53:00,,,21:23:00,,22:23:00,,23:23:00,,24:23:00,,,
Mittenwald Ri S abfahrt,,,06:55:00,,,,,,,,08:26:00,,,,09:36:00,,,10:26:00,,,,,,,12:26:00,,,,,,14:26:00,,,15:36:00,,,,16:26:00,,,,,,,,18:26:00,,,,,19:46:00,,,,,,20:26:00,20:57:00,,,,,,,,,,,,
Scharnitz Ri S,06:33:00,,07:03:00,,07:33:00,,08:03:00,,,,08:34:00,09:03:00,,,09:44:00,,,10:34:00,,,,,,,12:34:00,,13:03:00,,,14:03:00,14:34:00,,15:03:00,15:44:00,,,,16:34:00,17:03:00,,,18:03:00,,,,18:34:00,19:03:00,,,,19:44:00,,,,,,20:34:00,,,21:33:00,,,,,,00:03:00,,,,
Gießenbach Ri S,06:37:00,,07:07:00,,07:37:00,,08:07:00,,,,,09:07:00,,,09:48:00,,,,,,,,,,,,13:07:00,,,14:07:00,,,15:07:00,15:48:00,,,,,17:07:00,,,18:07:00,,,,,19:07:00,,,,19:48:00,,,,,,,,,21:37:00,,,,,,00:07:00,,,,
Seefeld Ri S,06:46:00,,07:16:00,,07:46:00,,08:16:00,,,,08:46:00,09:16:00,,,09:56:00,10:16:00,,10:46:00,11:16:00,,,,12:16:00,,12:46:00,,13:16:00,,,14:16:00,14:46:00,,15:16:00,15:56:00,16:16:00,,,16:46:00,17:16:00,,,18:16:00,,,,18:46:00,19:16:00,,,,19:56:00,20:16:00,,,,,20:46:00,21:18:00,,21:46:00,,,,,,00:16:00,,,,
Reith bei Seefeld Ri S,06:51:00,,07:21:00,,07:51:00,,08:21:00,,,,08:51:00,09:21:00,,,,10:21:00,,10:51:00,11:21:00,,,,12:21:00,,12:51:00,,13:21:00,,,14:21:00,14:51:00,,15:21:00,,16:21:00,,,16:51:00,17:21:00,,,18:21:00,,,,18:51:00,19:21:00,,,,,20:21:00,,,,,20:51:00,,,21:51:00,,,,,,00:21:00,,,,
Leithen Ri O,06:53:00,,07:23:00,,07:53:00,,08:23:00,,,,08:53:00,09:23:00,,,,10:23:00,,10:53:00,11:23:00,,,,12:23:00,,12:53:00,,13:23:00,,,14:23:00,14:53:00,,15:23:00,,16:23:00,,,16:53:00,17:23:00,,,18:23:00,,,,18:53:00,19:23:00,,,,,20:23:00,,,,,20:53:00,,,21:53:00,,,,,,00:23:00,,,,
Hochzirl Ri O,07:00:00,,07:30:00,,08:00:00,,08:30:00,,,,09:00:00,09:30:00,,,,10:30:00,,11:00:00,11:30:00,,,,12:30:00,,13:00:00,,13:30:00,,,14:30:00,15:00:00,,15:30:00,,16:30:00,,,17:00:00,17:30:00,,,18:30:00,,,,19:00:00,19:30:00,,,,,20:30:00,,,,,21:00:00,,,22:00:00,,,,,,00:30:00,,,,
Kranebitten Ri O,07:08:00,,07:38:00,,08:08:00,,08:38:00,,,,09:08:00,09:38:00,,,,10:38:00,,11:08:00,11:38:00,,,,12:38:00,,13:08:00,,13:38:00,,,14:38:00,15:08:00,,15:38:00,,16:38:00,,,17:08:00,17:38:00,,,18:38:00,,,,19:08:00,19:38:00,,,,,20:38:00,,,,,21:08:00,,,22:08:00,,,,,,00:38:00,,,,
Innsbruck Allerheiligenhöfe Ri O,07:10:00,,07:40:00,,08:10:00,,08:40:00,,,,09:10:00,09:40:00,,,,10:40:00,,11:10:00,11:40:00,,,,12:40:00,,13:10:00,,13:40:00,,,14:40:00,15:10:00,,15:40:00,,16:40:00,,,17:10:00,17:40:00,,,18:40:00,,,,19:10:00,19:40:00,,,,,20:40:00,,,,,21:10:00,,,22:10:00,,,,,,00:40:00,,,,
Innsbruck Hötting Ri S,07:16:00,,07:46:00,,08:16:00,,08:46:00,,,,09:16:00,09:46:00,,,,10:46:00,,11:16:00,11:46:00,,,,12:46:00,,13:16:00,,13:46:00,,,14:46:00,15:16:00,,15:46:00,,16:46:00,,,17:16:00,17:46:00,,,18:46:00,,,,19:16:00,19:46:00,,,,,20:46:00,,,,,21:16:00,,,22:16:00,,,,,,00:46:00,,,,
Innsbruck Westbahnhof Ri O,07:19:00,,07:49:00,,08:19:00,,08:49:00,,,,09:19:00,09:49:00,,,,10:49:00,,11:19:00,11:49:00,,,,12:49:00,,13:19:00,,13:49:00,,,14:49:00,15:19:00,,15:49:00,,16:49:00,,,17:19:00,17:49:00,,,18:49:00,,,,19:19:00,19:49:00,,,,,20:49:00,,,,,21:19:00,,,22:19:00,,,,,,00:49:00,,,,
Innsbruck Hauptbahnhof,07:23:00,,07:53:00,,08:23:00,,08:53:00,,,,09:23:00,09:53:00,,,,10:53:00,,11:23:00,11:53:00,,,,12:53:00,,13:23:00,,13:53:00,,,14:53:00,15:23:00,,15:53:00,,16:53:00,,,17:23:00,17:53:00,,,18:53:00,,,,19:23:00,19:53:00,,,,,20:53:00,,,,,21:23:00,21:48:00,,22:23:00,,,,,,00:53:00,,,,
