,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606
Saulgrub Rathaus Ri N,,06:27:00,,,,,,,,,,,10:37:00,11:33:00,,13:07:00,,14:00:00,15:04:00,,16:53:00,17:43:00,,,
Bad Kohlgrub Feuerwehrhaus Ri O,,06:28:00,,,,,,,,,,,10:39:00,11:35:00,,13:09:00,,14:02:00,15:06:00,,16:55:00,17:45:00,,,
Bad Kohlgrub Rathaus,,06:32:00,,,,,,,,,,,10:43:00,11:39:00,,13:13:00,,14:06:00,15:10:00,,16:59:00,17:49:00,,,
Bad Kohlgrub Feuerwehrhaus Ri W,,,,,,,,,,,,,10:45:00,11:41:00,,13:15:00,,14:08:00,15:12:00,,17:01:00,17:51:00,,,
Saulgrub Rathaus Ri W,,,,,,,,,,,,,10:46:00,11:42:00,,13:17:00,,14:10:00,15:13:00,,17:02:00,17:52:00,,,
Bad Bayersoien Eisplatz Ri W,06:04:00,,,06:53:00,06:47:00,,,,,,08:47:00,,10:50:00,11:46:00,,13:21:00,,14:14:00,15:17:00,16:14:00,17:06:00,17:57:00,,,
Bad Bayersoien Gh Weißes Roß Ri W,06:06:00,,,06:56:00,06:49:00,,,,,,08:49:00,,10:52:00,11:48:00,,13:23:00,,14:16:00,15:19:00,16:16:00,17:08:00,17:59:00,,,
Bad Bayersoien Gschwendt Ri N,06:07:00,,,06:57:00,06:50:00,,,,,,08:50:00,,10:54:00,11:49:00,,13:24:00,,14:17:00,,16:17:00,17:10:00,18:01:00,,,
Bad Bayersoien Echelsbach Ri N,06:08:00,,,06:59:00,06:51:00,,,,,,08:51:00,,10:55:00,11:50:00,,13:25:00,,14:18:00,,16:18:00,17:11:00,18:02:00,,,
Echelsbacher Brücke Ri W ankunft,06:10:00,,,07:01:00,06:52:00,,,,,,08:55:00,,10:56:00,11:51:00,,13:27:00,,14:20:00,,16:22:00,17:13:00,18:04:00,,,
Echelsbacher Brücke Ri W abfahrt,,,,,,,,,,,,,10:56:00,,,,,14:20:00,,,,,,,
Rottenbuch Alte Post,,,,,,,,,,,,,,,,,,,,,,,,,
Steingaden Feuerwehrhaus Ri W,,,,,,,,,,,,,,,,,,14:33:00,,,,,,,
Wieskirche Ri S,,,,,,,,,,,,,11:06:00,,,,,14:42:00,,,,,,,
Steingaden Feuerwehrhaus Ri W,,,,,,,,,,,,,11:16:00,,,,,,,,,,,,
Füssen Bahnhof,,,,,,,,,,,,,11:55:00,,,,,,,,,,,,
