,3,3
Farchant Antonistüberl Ri S,06:55:00,
Farchant Maibaum Ri S,06:56:00,
Farchant Garmischer Straße Ri S,06:57:00,
Steigfeldstraße Ri W,,
Partenkirchen Loisachauen Ri S,06:58:00,
Partenkirchen Am Brünnl Ri S,06:59:00,
Partenkirchen Friedhof Ri S,07:00:00,
Partenkirchen Gemeindewerke,,12:13:00
Partenkirchen Wankbahn,,
Partenkirchen Schützenhaus,,
Partenkirchen Altenheim Ri S,07:02:00,12:14:00
Partenkirchen Dr Gazert Straße Ri S,07:03:00,12:15:00
Partenkirchen Sebastianskirche Ri W,07:05:00,12:17:00
Partenkirchen Rathaus Ri W,07:06:00,12:18:00
Garmisch Partenkirchen Bahnhof Ri N ankunft,07:09:00,12:22:00
Garmisch Partenkirchen Bahnhof Ri N abfahrt,07:09:00,12:22:00
Partenkirchen Kurpark Ri W,07:10:00,12:23:00
Partenkirchen Achenfeldstraße Ri W,07:12:00,12:25:00
Farchant Alpspitzstraße Ri N,07:13:00,12:26:00
Partenkirchen Marienplatz Ri N,07:16:00,12:29:00
Partenkirchen Loisachbrücke 2 Ri N,07:17:00,12:30:00
Partenkirchen Alte Kirche Ri N,07:17:00,12:30:00
Partenkirchen Thomas Knorr Straße Ri N,07:18:00,12:31:00
Partenkirchen Hörmannstraße Ri N,07:19:00,12:32:00
Partenkirchen Sonnenbichl Ri O,07:20:00,12:33:00
Schwaigwang Ri N,07:21:00,12:34:00
Burgrain Ri O,07:22:00,12:35:00
Steigfeldstraße Ri O,07:23:00,12:37:00
Farchant Garmischer Straße Ri N,,
Farchant Maibaum Ri N,,
Farchant Antonistüberl Ri N,,
