,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Garmisch Partenkirchen Ri N abfahrt,,,05:00:00,05:22:00,05:36:00,,05:59:00,06:18:00,06:35:00,,07:02:00,07:22:00,07:35:00,,,08:07:00,,,,09:07:00,,,10:07:00,,,11:07:00,,,,12:07:00,12:24:00,,13:07:00,13:07:00,,,14:07:00,,,,15:07:00,,,16:07:00,,,,17:05:00,,,18:05:00,,,,19:05:00,,,,20:05:00,,22:17:00,,22:07:00,23:07:00,,
Farchant Ri N,,,05:04:00,05:26:00,,,06:03:00,,,,07:06:00,07:26:00,,,,08:11:00,,,,09:11:00,,,10:12:00,,,11:11:00,,,,12:11:00,12:29:00,,13:11:00,13:11:00,,,14:11:00,,,,15:11:00,,,16:11:00,,,,17:09:00,,,18:09:00,,,,19:09:00,,,,20:09:00,,21:11:00,,22:11:00,23:11:00,,
Oberau Ri N,,,05:08:00,05:30:00,,,06:07:00,06:30:00,,,07:12:00,07:30:00,,,,08:16:00,,,,09:16:00,,,10:17:00,,,11:15:00,,,,12:15:00,12:33:00,,13:15:00,13:15:00,,,14:15:00,,,,15:15:00,,,16:15:00,,,,17:16:00,,,18:16:00,,,,19:17:00,,,,20:14:00,,21:15:00,,22:15:00,23:15:00,,
Eschenlohe Ri N,,,05:14:00,05:36:00,,,06:16:00,06:36:00,,,07:18:00,07:39:00,,,,08:22:00,,,,09:22:00,,,10:23:00,,,11:22:00,,,,12:21:00,12:40:00,,13:22:00,13:22:00,,,14:22:00,,,,15:22:00,,,16:21:00,,,,17:22:00,,,18:22:00,,,,19:23:00,,,,20:20:00,,21:22:00,,22:22:00,23:22:00,,
Ohlstadt Ri N,,,05:18:00,05:40:00,,,,06:40:00,,,07:22:00,07:43:00,,,,08:26:00,,,,09:26:00,,,,,,11:26:00,,,,12:25:00,12:44:00,,13:26:00,13:26:00,,,14:26:00,,,,15:26:00,,,,,,,17:26:00,,,,,,,19:27:00,,,,20:24:00,,21:26:00,,22:26:00,23:26:00,,
Murnau Ri N ankunft,,,05:23:00,05:46:00,,,06:25:00,06:47:00,06:54:00,,07:29:00,07:49:00,07:58:00,,,08:31:00,,,,09:31:00,,,10:32:00,,,11:31:00,,,,12:30:00,12:50:00,,13:31:00,13:31:00,,,14:31:00,,,,15:31:00,,,16:30:00,,,,17:31:00,,,18:31:00,,,,19:32:00,,,,20:30:00,,21:31:00,,22:31:00,23:31:00,,
Murnau Ri N abfahrt,,04:47:00,05:24:00,06:07:00,05:54:00,,06:26:00,06:48:00,06:55:00,,07:30:00,08:05:00,07:59:00,08:05:00,,08:32:00,,,,09:32:00,,,10:33:00,,,11:32:00,,,,12:31:00,12:51:00,,13:32:00,13:32:00,,,14:32:00,,,,15:32:00,,,16:31:00,,,,17:32:00,,,18:32:00,,,,19:33:00,,,,20:31:00,,21:32:00,,22:32:00,23:32:00,,
Uffing Ri N,,04:51:00,05:29:00,,05:55:00,06:07:00,06:31:00,06:53:00,,,07:34:00,,,08:09:00,,08:37:00,,,,09:37:00,,,10:38:00,,,11:37:00,,,,12:36:00,12:56:00,,13:37:00,13:37:00,,,14:37:00,,,,15:37:00,,,16:36:00,,,,17:37:00,,,18:37:00,,,,19:38:00,,,,20:36:00,,21:37:00,,22:37:00,23:37:00,,
Huglfing Ri N,,04:57:00,05:34:00,,,06:11:00,06:37:00,06:58:00,,,07:39:00,,,08:19:00,,08:42:00,,,,09:42:00,,,10:43:00,,,11:42:00,,,,12:41:00,13:02:00,,13:43:00,13:43:00,,,14:42:00,,,,15:42:00,,,16:42:00,,,,17:43:00,,,18:43:00,,,,19:44:00,,,,20:42:00,,21:42:00,,22:42:00,23:42:00,,
Weilheim Ri N ankunft,,05:02:00,05:40:00,,06:08:00,06:16:00,06:44:00,07:04:00,07:08:00,,07:45:00,,08:11:00,08:24:00,,08:48:00,,,,09:48:00,,,10:49:00,,,11:48:00,,,,12:47:00,13:07:00,,13:49:00,13:49:00,,,14:48:00,,,,15:48:00,,,16:48:00,,,,17:49:00,,,18:49:00,,,,19:49:00,,,,20:48:00,,21:48:00,,22:48:00,23:48:00,,
Weilheim Ri N abfahrt,04:37:00,05:04:00,05:41:00,,06:10:00,06:22:00,06:46:00,07:18:00,07:11:00,07:18:00,07:47:00,,08:12:00,08:25:00,,08:49:00,,,09:18:00,09:49:00,,10:18:00,10:50:00,11:18:00,,11:49:00,,12:18:00,,12:49:00,13:18:00,,13:50:00,13:50:00,,14:18:00,14:49:00,,15:18:00,,15:49:00,,,16:50:00,16:12:00,17:19:00,,17:50:00,,18:12:00,18:50:00,,19:12:00,,19:51:00,,20:19:00,,20:49:00,,21:49:00,,22:49:00,23:49:00,,
Tutzing Ri N ankunft,04:46:00,05:13:00,05:51:00,,,06:23:00,06:56:00,,,07:28:00,07:56:00,,,08:35:00,,08:58:00,,,09:28:00,09:58:00,,10:28:00,10:59:00,11:28:00,,11:58:00,,12:28:00,,12:58:00,13:28:00,,13:59:00,13:59:00,,14:28:00,14:59:00,,15:28:00,,15:58:00,,,16:59:00,16:21:00,17:29:00,,17:59:00,,18:21:00,18:59:00,,19:21:00,,19:59:00,,20:29:00,,20:59:00,,21:59:00,,22:49:00,23:59:00,,
Tutzing Ri N abfahrt,04:47:00,05:15:00,05:55:00,,,06:33:00,07:00:00,,,07:32:00,08:00:00,,,08:38:00,,09:00:00,,,09:32:00,10:00:00,,10:32:00,11:00:00,11:32:00,,12:00:00,,12:32:00,,13:00:00,13:37:00,,14:00:00,14:00:00,,14:32:00,15:00:00,,15:32:00,,16:00:00,,,17:00:00,16:32:00,17:32:00,,18:00:00,,18:32:00,19:00:00,,19:32:00,,20:00:00,,20:32:00,,21:00:00,,22:00:00,,23:00:00,24:00:00,,
Starnberg Ri N,04:56:00,05:24:00,,,,06:38:00,,,,07:41:00,,,,08:47:00,,,,,09:41:00,,,10:41:00,,11:41:00,,,,12:41:00,,,13:47:00,,,,,14:41:00,,,15:41:00,,,,,,16:41:00,17:41:00,,,,18:41:00,,,19:41:00,,,,20:41:00,,,,,,,,,
