,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608,9608
Obernach Ri N,,06:19:00,,,08:35:00,,,,10:36:00,,,,13:39:00,,14:36:00,,15:55:00,,16:36:00,,17:34:00,19:04:00,
Einsiedl Ri N,,06:20:00,,,08:36:00,,,,10:37:00,,,,13:40:00,,14:37:00,,15:56:00,,16:37:00,,17:35:00,19:05:00,
Lobisau Ri N,,06:22:00,,,08:38:00,,,,10:39:00,,,,13:42:00,,14:39:00,,15:58:00,,16:39:00,,17:37:00,19:07:00,
Walchensee Gh Edeltraud Ri O,,06:24:00,,,08:40:00,,,,10:41:00,,,,13:44:00,,14:41:00,,16:00:00,,16:41:00,,17:39:00,19:09:00,
Walchensee Ortsmitte Ri N,,06:27:00,,,08:43:00,,,,10:44:00,,,12:20:00,13:47:00,,14:44:00,,16:03:00,,16:44:00,,17:42:00,19:12:00,
Walchensee Herzogstandbahn Ri N,,06:29:00,,,08:45:00,,,,10:46:00,,,12:22:00,13:49:00,,14:46:00,,16:05:00,,16:46:00,,17:44:00,19:14:00,
Urfeld Jugendherberge Ri N,,06:32:00,,,08:48:00,,,,10:49:00,,,12:25:00,13:52:00,,14:49:00,,,,16:49:00,,17:47:00,,
Urfeld Ri N,,06:33:00,,,08:49:00,,,,10:50:00,,,12:26:00,13:53:00,,14:50:00,,,,16:50:00,,17:48:00,,
Helmerhütte Ri N,,06:35:00,,,08:51:00,,,,10:52:00,,,12:27:00,13:55:00,,14:52:00,,,,16:52:00,,17:50:00,,
Altjoch Ri N,,06:40:00,,,08:56:00,,,,10:57:00,,,,14:00:00,,14:57:00,,,,16:57:00,,17:55:00,,
Kochel Fa Dorst Ri N,,06:41:00,,,08:57:00,,,,10:58:00,,,12:33:00,14:01:00,,14:58:00,,,,16:58:00,,17:56:00,,
Kochel Franz Marc Museum Ri N,,06:42:00,,,08:58:00,,,,10:59:00,,,12:34:00,14:02:00,,14:59:00,,,,16:59:00,,17:57:00,,
Kochel Heimatbühne Ri N,,06:43:00,,,08:59:00,,,,11:00:00,,,12:35:00,14:03:00,,15:00:00,,,,17:00:00,,17:58:00,,
Kochel Gh Post Ri N,,06:45:00,,,09:01:00,,,,11:02:00,,,12:37:00,14:05:00,,15:02:00,,,,17:02:00,,18:00:00,,
Kochel Bahnhof,,06:49:00,,,09:05:00,,,,11:06:00,,,12:40:00,14:09:00,,15:06:00,,,,17:06:00,,18:04:00,,
