,965,965,965,965,965,965,965,965,965,965,965,965,965,965,965
Reutte in Tirol,05:26:00,07:01:00,08:01:00,09:01:00,11:01:00,11:58:00,13:01:00,13:57:00,15:01:00,,16:01:00,17:01:00,18:01:00,19:01:00,21:07:00
Reutte in Tirol Schulzentrum Ri O,05:27:00,07:02:00,08:02:00,09:02:00,11:02:00,12:00:00,13:02:00,13:58:00,15:02:00,,16:02:00,17:02:00,18:02:00,19:02:00,21:08:00
Heiterwang Plansee Ri O,05:36:00,07:11:00,08:11:00,09:11:00,11:11:00,12:09:00,13:11:00,14:07:00,15:11:00,,16:11:00,17:11:00,18:11:00,19:11:00,21:17:00
Bichlbach Almkopfbahn Ri O,,07:14:00,08:14:00,09:14:00,11:14:00,12:12:00,,14:10:00,15:14:00,,16:14:00,17:14:00,18:14:00,,
Bichlbach Bergwang Ri S,05:41:00,07:16:00,08:16:00,09:16:00,11:16:00,12:15:00,13:16:00,14:13:00,15:16:00,,16:16:00,17:16:00,18:16:00,19:16:00,21:22:00
Lähn Ri O,05:45:00,07:20:00,08:20:00,09:20:00,11:20:00,12:19:00,13:20:00,14:17:00,15:20:00,,16:20:00,17:20:00,18:20:00,19:20:00,21:26:00
Lermoos Ri O,05:50:00,07:25:00,08:25:00,09:25:00,11:25:00,12:25:00,13:25:00,14:22:00,15:25:00,,16:25:00,17:25:00,18:25:00,19:25:00,21:31:00
Ehrwald Zugspitzbahn Ri N,05:56:00,07:31:00,08:31:00,09:31:00,11:31:00,12:31:00,13:31:00,14:27:00,15:31:00,,16:31:00,17:31:00,18:31:00,19:31:00,21:37:00
Griesen Ri N,06:06:00,07:40:00,,09:40:00,11:40:00,,,,15:40:00,,,17:40:00,,19:40:00,21:46:00
Untergrainau Ri S,06:14:00,07:48:00,08:48:00,09:48:00,11:48:00,12:48:00,13:48:00,,15:48:00,,16:48:00,17:48:00,18:48:00,19:48:00,21:54:00
Garmisch Partenkirchen Hausberg Ri N,06:18:00,07:53:00,08:53:00,09:53:00,11:53:00,12:53:00,,,15:53:00,16:52:00,16:53:00,17:53:00,18:53:00,19:53:00,21:59:00
Garmisch Partenkirchen Ri N,06:23:00,07:57:00,08:57:00,09:57:00,11:57:00,12:57:00,13:57:00,,15:57:00,16:56:00,16:57:00,17:57:00,18:57:00,19:57:00,22:03:00
