09180112;Bad Kohlgrub;;; ;;;;;
;;ZZ;Übrige (Bundes)Länder;13;9;4;X;X;X
;;ZZ;BUNDESGEBIET;698;372;326;641;57;59
;;ZZ;INSGESAMT;701;372;329;642;59;59
;;ZZ;Darunter: EINPENDLER;469;250;219;435;34;45
;;ZZ;  davon: aus den ABL;464;248;216;432;32;45
;;ZZ; davon: aus den NBL;X;X;X;X;X;X
09180117;Garmisch-Partenkirchen, Markt;;; ;;;;;
;;05;Nordrhein-Westfalen;18;11;7;15;3;X
;;06;Hessen;12;6;6;X;X;X
;;08;Baden-Württemberg;24;15;9;20;4;X
;;09162000;München, Landeshauptstadt;86;36;50;71;15;X
;;09162;München, Landeshauptstadt;86;36;50;71;15;X
;;09173112;Bad Tölz, Stadt;20;9;11;14;6;X
;;09173113;Benediktbeuern;12;6;6;X;X;X
;;09173133;Kochel a.See;28;11;17;X;X;X
;;09173142;Schlehdorf;11;5;6;X;X;X
;;09173147;Wolfratshausen, Stadt;14;7;7;X;X;X
;;09173;Übrige Gemeinden (Kreis);39;21;18;33;6;3
;;09173;Bad Tölz-Wolfratshausen;124;59;65;108;16;7
;;09180112;Bad Kohlgrub;52;28;24;X;X;4
;;09180113;Bad Bayersoien;13;7;6;X;X;X
;;09180114;Eschenlohe;131;51;80;126;5;12
;;09180115;Ettal;36;18;18;32;4;3
;;09180116;Farchant;651;270;381;610;41;42
;;09180117;Garmisch-Partenkirchen, Markt;6.042;2.574;3.468;5.028;1.014;289
;;09180118;Grainau;571;295;276;540;31;34
;;09180119;Großweil;20;10;10;X;X;X
;;09180122;Krün;165;78;87;158;7;17
;;09180123;Mittenwald, Markt;495;230;265;476;19;52
;;09180124;Murnau a.Staffelsee, Markt;250;96;154;226;24;9
;;09180125;Oberammergau;217;93;124;203;14;11
;;09180126;Oberau;364;147;217;334;30;30
;;09180127;Ohlstadt;129;51;78;122;7;9
;;09180128;Riegsee;20;11;9;X;X;X
;;09180129;Saulgrub;56;33;23;53;3;3
;;09180131;Schwaigen;22;8;14;X;X;5
;;09180132;Seehausen a.Staffelsee;36;16;20;33;3;X
;;09180134;Uffing a.Staffelsee;49;20;29;46;3;X
;;09180135;Unterammergau;59;32;27;X;X;4
;;09180136;Wallgau;135;64;71;130;5;15
;;09180;Übrige Gemeinden (Kreis);4;X;X;X;X;X
;;09180;Garmisch-Partenkirchen;9.517;4.133;5.384;8.305;1.212;543
;;09181;Landsberg am Lech;11;5;6;X;X;X
;;09182119;Hausham;17;8;9;X;X;X
;;09182125;Miesbach, Stadt;21;4;17;X;X;X
;;09182;Übrige Gemeinden (Kreis);34;10;24;X;X;X
;;09182;Miesbach;72;22;50;69;3;X
;;09184;München;16;6;10;X;X;X
;;09187;Rosenheim;39;8;31;35;4;X
;;09188;Starnberg;11;7;4;X;X;X
;;09190117;Böbing;10;X;X;X;X;X
;;09190121;Eglfing;10;X;X;X;X;X
;;09190130;Hohenpeißenberg;10;5;5;X;X;X
;;09190131;Huglfing;23;9;14;X;X;3
;;09190135;Oberhausen;12;4;8;X;X;X
;;09190136;Obersöchering;16;6;10;X;X;X
;;09190139;Peißenberg, Markt;22;9;13;X;X;X
;;09190140;Peiting, Markt;12;6;6;X;X;X
;;09190141;Penzberg, Stadt;48;21;27;45;3;X
;;09190148;Schongau, Stadt;11;5;6;X;X;X
;;09190157;Weilheim i.OB, Stadt;52;20;32;48;4;3
;;09190;Übrige Gemeinden (Kreis);65;23;42;X;X;5
;;09190;Weilheim-Schongau;291;111;180;281;10;16
;;091;Übrige Kreise (Regierungsbezirk);36;14;22;32;4;X
;;091;Oberbayern;10.203;4.401;5.802;8.937;1.266;571
;;095;Mittelfranken;14;9;5;X;X;X
;;09777;Ostallgäu;12;6;6;X;X;X
;;097;Übrige Kreise (Regierungsbezirk);25;12;13;X;X;X
;;097;Schwaben;37;18;19;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);19;5;14;X;X;X
;;09;Bayern;10.273;4.433;5.840;9.003;1.270;575
;;140;Sachsen;22;12;10;X;X;X
;;14;Sachsen;22;12;10;X;X;X
;;150;Sachsen-Anhalt;21;X;X;X;X;X
;;15;Sachsen-Anhalt;21;X;X;X;X;X
;;160;Thüringen;15;9;6;X;X;X
;;16;Thüringen;15;9;6;X;X;X
;;A;Österreich;96;30;66;40;56;X
;;A;Österreich;96;30;66;40;56;X
