;;ZZ;Übrige Bundesländer;4;X;X;X;X;X
;;ZZ;BUNDESGEBIET;267;133;134;207;60;15
;;ZZ;INSGESAMT;267;133;134;207;60;15
;;ZZ;Darunter: AUSPENDLER;152;87;65;140;12;13
;;ZZ;  davon: in die ABL;151;86;65;139;12;13
;;ZZ;  davon: in die NBL;X;X;X;X;X;X
09180116;Farchant;;; ;;;;;
;;064;Reg.-Bez. Darmstadt;14;11;3;X;X;X
;;06;Hessen;14;11;3;X;X;X
;;08;Baden-Württemberg;10;6;4;X;X;X
;;09162000;München, Landeshauptstadt;66;37;29;X;X;X
;;09162;München, Landeshauptstadt;66;37;29;X;X;X
;;09173147;Wolfratshausen, Stadt;10;5;5;X;X;X
;;09173;Übrige Gemeinden (Kreis);11;X;X;X;X;X
;;09173;Bad Tölz-Wolfratshausen;21;15;6;X;X;X
;;09180115;Ettal;12;5;7;9;3;X
;;09180116;Farchant;232;122;110;207;25;14
;;09180117;Garmisch-Partenkirchen, Markt;651;270;381;610;41;42
;;09180118;Grainau;19;9;10;X;X;X
;;09180123;Mittenwald, Markt;10;5;5;X;X;X
;;09180124;Murnau a.Staffelsee, Markt;60;32;28;54;6;5
;;09180125;Oberammergau;27;11;16;X;X;3
;;09180126;Oberau;46;25;21;X;X;X
;;09180;Übrige Gemeinden (Kreis);47;25;22;40;7;X
;;09180;Garmisch-Partenkirchen;1.104;504;600;1.016;88;70
;;09184;München;11;X;X;X;X;X
;;09188;Starnberg;10;6;4;X;X;X
;;09190141;Penzberg, Stadt;25;17;8;X;X;X
;;09190157;Weilheim i.OB, Stadt;17;9;8;X;X;4
;;09190;Übrige Gemeinden (Kreis);15;12;3;X;X;X
;;09190;Weilheim-Schongau;57;38;19;54;3;6
;;091;Übrige Kreise (Regierungsbezirk);21;14;7;X;X;X
;;091;Oberbayern;1.290;625;665;1.197;93;78
;;097;Schwaben;13;6;7;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);8;5;3;X;X;X
;;09;Bayern;1.311;636;675;1.218;93;79
;;ZZ;Übrige Bundesländer;12;5;7;X;X;X
;;ZZ;BUNDESGEBIET;1.347;658;689;1.252;95;79
;;ZZ;INSGESAMT;1.347;658;689;1.252;95;79
;;ZZ;Darunter: AUSPENDLER;1.115;536;579;1.045;70;65
;;ZZ;  davon: in die ABL;1.109;533;576;1.039;70;65
;;ZZ;  davon: in die NBL;6;3;3;X;X;X
09180117;Garmisch-Partenkirchen, Markt;;; ;;;;;
;;02000000;Hamburg, Freie und Hansestadt;12;3;9;X;X;X
