Linie ,9651,9606,9606,9651,9606,9606,9606,9606,9606,9606,73,9606,9651,9606,9606,9606,9606,9606,9606,9606,73,9606,9606,9606,9651,9606,73,9606,9606
Ettal Am Berg 2,,07:05:00,07:07:00,,,,,07:50:00,,08:52:00,,09:50:00,,11:32:00,12:19:00,13:01:00,13:21:00,14:07:00,,14:52:00,,15:51:00,16:57:00,17:22:00,,17:57:00,,18:57:00,20:27:00
Oberau Untermberg 2,,07:12:00,07:14:00,,,,,07:57:00,,08:59:00,,09:57:00,,11:39:00,12:26:00,13:08:00,13:28:00,14:14:00,,14:59:00,,15:58:00,17:04:00,17:29:00,,18:04:00,,19:04:00,20:34:00
Oberau Bahnhof 2 ankunft,,07:14:00,,,,,,07:59:00,,09:01:00,,09:59:00,,11:41:00,12:28:00,13:11:00,13:31:00,14:16:00,,15:01:00,,16:00:00,17:06:00,17:31:00,,18:06:00,,19:06:00,20:36:00
Oberau Bahnhof 2 abfahrt,,07:15:00,,,,,,07:59:00,,09:03:00,,10:00:00,,11:42:00,12:29:00,13:13:00,13:33:00,14:18:00,,15:03:00,,16:02:00,17:07:00,17:32:00,,18:08:00,,19:08:00,20:36:00
Farchant Maibaum 2,,07:20:00,,,,,,08:03:00,,09:08:00,,10:05:00,,11:47:00,12:34:00,13:18:00,13:38:00,14:23:00,,15:08:00,,16:07:00,17:12:00,17:37:00,,18:13:00,,19:13:00,20:41:00
Partenkirchen Loisachauen 2,,07:22:00,,,,,,08:05:00,,09:09:00,,10:06:00,,11:48:00,12:35:00,13:19:00,13:39:00,14:25:00,,15:09:00,,16:08:00,17:13:00,17:38:00,,18:14:00,,19:14:00,20:42:00
Partenkirchen Friedhof 2,,07:24:00,07:22:00,,,,,08:07:00,,09:11:00,,10:08:00,,11:50:00,12:37:00,13:21:00,13:41:00,14:27:00,,15:11:00,,16:10:00,17:15:00,17:40:00,,18:16:00,,19:16:00,20:44:00
Partenkirchen Werdenfelser Platz 2,,,07:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Partenkirchen Rathaus 2,,07:27:00,,,,,,08:09:00,,09:13:00,,10:10:00,,11:52:00,12:39:00,13:23:00,13:43:00,14:29:00,,15:13:00,,16:12:00,17:17:00,17:42:00,,18:18:00,,19:18:00,20:46:00
Partenkirchen Bahnhof 2 ankunft,,07:30:00,07:30:00,,,,,08:12:00,,09:17:00,,10:14:00,,11:55:00,12:43:00,13:26:00,13:46:00,14:32:00,,15:16:00,,16:15:00,17:21:00,17:46:00,,18:22:00,,19:22:00,20:50:00
