Zugspitzplatt,"","","","","",09:30,10:30,11:30,12:30
Riffelriß,x,"","","","",09:50,10:50,11:50,12:50
Eibsee,"","","","","",10:15,11:15,12:15,13:15
Grainau,"",07:15,a07:58,08:30,09:30,10:30,11:30,12:30,13:30
Hammersbach,x,07:17,a08:00,08:33,09:33,10:33,11:33,12:33,13:33
Kreuzeck-/ Alpspitzbahn,x,07:20,a08:03,08:37,09:37,10:37,11:37,12:37,13:37
Hausberg,x,07:27,a08:10,08:46,09:46,10:46,11:46,12:46,13:46
